Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
1385,'CREB1',28.9,26.86,25.77,20.12,21.96,21.35,30.06,29.51,26.65,24.97,21.72,34.35,21.26,39.23,22.36,29.34,8.94,14.89,30.06,17.77,25.24,12.73,12.15,17.17,9.16,19.91
1386,'ATF2',28.93,14.36,20.28,16.97,13.93,17.7,25.3,25.99,17.69,18.66,24.08,26.52,25.86,31.94,34.39,27.56,14.38,34.35,29.46,25.35,26.88,18.31,10.44,27.12,11.78,18.62
138639,'PTPDC1',1.42,1.0,1.4,1.27,1.0,1.59,1.65,1.84,1.87,1.69,0.63,1.57,1.43,1.65,1.01,1.3,1.13,1.21,2.2,0.74,1.18,0.71,0.33,0.94,0.91,0.82
1387,'CREBBP',68.2,99.03,81.93,56.89,61.2,45.61,84.62,77.66,82.61,86.03,60.51,44.46,55.68,50.75,40.72,35.15,10.63,30.62,63.72,36.17,59.42,51.76,61.43,41.36,28.3,59.39
138715,'ARID3C',0.1,0.08,0.18,0.1,0.15,0.19,0.21,0.2,0.02,0.22,0.1,0.02,0.17,0.05,0.29,0.03,0.33,0.28,0.19,0.12,0.18,0.3,0.24,0.23,0.25,0.33
138716,'RPP25L',28.34,14.61,16.46,19.02,15.37,16.99,23.89,23.09,9.08,10.99,22.98,22.54,28.59,30.86,31.89,28.59,34.73,26.61,28.62,22.66,28.85,24.44,13.81,23.93,13.1,13.44
138724,'C9orf131',0.0,0.07,0.13,0.07,0.03,0.0,0.0,0.04,0.16,0.26,0.04,0.09,0.0,0.21,0.04,0.14,0.19,0.08,0.08,0.0,0.0,0.04,0.2,0.0,0.19,0.15
1388,'ATF6B',177.97,163.28,217.54,224.31,196.72,178.69,197.52,193.47,137.31,161.2,177.67,129.54,220.32,115.81,179.76,96.05,105.42,130.92,224.7,157.91,207.94,245.01,135.02,182.79,103.49,156.97
138881,'OR1L8',0.22,0.0,0.26,0.0,0.13,0.0,0.13,0.13,0.36,0.0,0.26,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.14,0.16,0.0,0.46,0.0,0.17,0.14,0.15
138882,'OR1N2',0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1389,'CREBL2',45.23,19.68,32.17,34.15,24.1,25.1,43.91,39.62,24.44,29.33,27.02,41.93,25.75,23.67,31.39,21.71,18.69,21.33,34.65,26.69,44.21,14.99,13.42,21.6,7.04,9.28
1390,'CREM',7.98,12.18,8.3,8.24,12.6,10.75,11.48,9.91,17.77,15.94,58.44,20.12,12.07,67.0,27.44,37.25,15.2,25.15,15.1,26.14,12.59,12.99,4.55,17.48,5.93,15.96
139065,'SLITRK4',3.82,2.6,4.65,3.6,1.47,1.18,3.28,3.51,1.34,2.35,1.52,5.97,5.55,2.65,3.93,1.72,0.87,2.85,7.92,1.0,6.12,1.8,1.07,1.56,0.39,1.29
139105,'BEND2',7.4,3.52,7.59,3.16,4.85,4.19,11.13,5.03,3.6,2.91,0.54,0.24,0.97,0.1,0.81,0.26,0.26,0.03,1.66,0.0,1.34,0.15,5.11,0.03,0.34,0.77
139189,'DGKK',0.15,0.29,0.3,1.3,2.9,1.31,1.52,12.18,0.98,0.73,1.12,4.41,0.71,1.25,0.34,0.27,0.0,0.25,0.53,0.85,0.83,0.83,0.0,1.45,0.2,0.11
139212,'PIH1D3',0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.04,0.05,0.07,0.0,0.0,0.0,0.14,0.08,0.0,0.37,0.0,0.0,0.0,0.0,0.08,0.04,0.0,0.18,0.08
139231,'FAM199X',12.13,7.89,10.27,9.9,9.63,10.16,17.81,17.89,11.52,12.12,11.48,20.92,6.97,17.8,13.47,15.43,7.68,9.1,12.5,11.3,12.73,5.28,2.5,8.76,2.77,4.84
139285,'AMER1',2.76,1.62,2.07,2.27,2.24,2.04,3.79,4.11,2.88,3.22,2.28,4.39,4.78,3.79,3.4,2.62,1.23,2.92,3.8,2.6,4.64,2.55,0.68,2.62,0.7,1.46
1393,'CRHBP',0.24,0.55,0.31,0.54,0.19,1.4,0.34,0.61,0.35,0.25,0.25,0.22,1.22,0.32,0.43,0.69,0.78,0.09,0.94,0.1,0.44,0.37,0.54,0.0,0.98,0.52
139322,'APOOL',6.76,1.84,3.42,3.15,4.19,2.96,5.39,6.61,2.54,3.14,6.4,7.57,3.85,9.47,9.5,8.8,4.48,11.68,6.77,10.13,6.94,5.64,1.0,6.87,2.1,2.44
139324,'HDX',1.66,1.45,2.35,2.28,0.77,0.93,1.12,1.7,0.46,0.85,1.5,2.94,2.41,2.09,1.22,1.19,0.4,1.33,2.29,0.7,2.44,0.66,0.2,1.28,0.38,0.9
139341,'FUNDC1',13.84,5.07,7.62,7.95,3.58,5.53,14.11,9.79,7.9,6.84,10.25,15.03,8.31,15.41,15.94,15.63,11.89,18.48,12.52,17.48,14.49,7.14,3.63,12.6,3.07,5.95
